Position;Weight;Height;Age
Catcher;74;180;22,99
Catcher;74;215;34,69
Catcher;72;210;30,78
Baseman;72;210;35,43
Baseman;73;188;35,71
Outfielder;71;180;27,05
Outfielder;73;188;23,88
Outfielder;73;180;26,96
Outfielder;74;185;23,29
Outfielder;74;160;26,11
Outfielder;69;180;27,55
Outfielder;70;185;34,27
Pitcher;73;189;27,99
Pitcher;75;185;22,38
Pitcher;78;219;22,89
Pitcher;79;230;25,76
Pitcher;76;205;36,33
Pitcher;74;230;31,17
Pitcher;76;195;32,31
Relief_P;72;180;31,03
Relief_P;71;192;29,26
Relief_P;75;225;29,47
Relief_P;77;203;32,46
Relief_P;74;195;35,67
Relief_P;73;182;25,89
Relief_P;74;188;26,55
Relief_P;78;200;24,17
Relief_P;73;180;26,69
Relief_P;75;200;25,13
Relief_P;73;200;27,9
Catcher;75;245;30,17
Catcher;75;240;31,36
Baseman;74;215;30,99
Outfielder;76;200;22,02
Outfielder;74;205;24,97
Outfielder;74;206;26,78
Outfielder;70;186;32,51
Outfielder;72;188;30,95
Outfielder;77;220;33,09
Outfielder;74;210;32,74
Outfielder;70;195;30,69
Pitcher;73;200;23,45
Pitcher;75;200;24,94
Pitcher;76;212;24,09
Pitcher;76;224;35,23
Pitcher;78;210;27,43
Pitcher;74;205;30,6
Pitcher;74;220;27,94
Relief_P;76;195;29,99
Relief_P;77;200;25,17
Relief_P;81;260;24,13
Relief_P;78;228;30,46
Relief_P;75;270;25,96
Relief_P;77;200;22,55
Relief_P;75;210;26,29
Relief_P;76;190;24,79
Catcher;74;220;31,74
Catcher;72;180;23,79
Catcher;72;205;25,33
Baseman;75;210;24,02
Baseman;73;220;23,7
Baseman;73;211;31,59
Baseman;73;200;29,95
Baseman;70;180;23,64
Outfielder;71;185;25,75
Outfielder;72;185;27,51
Outfielder;75;200;25,11
Outfielder;75;225;32,51
Outfielder;75;225;34,67
Outfielder;75;220;31,06
Outfielder;68;160;29,1
Outfielder;74;205;28,66
Pitcher;78;235;28,35
Pitcher;71;259;33,77
Pitcher;73;210;30,89
Pitcher;76;190;37,74
Pitcher;74;160;24,14
Pitcher;74;200;25,71
Pitcher;79;205;24,41
Relief_P;75;222;24,32
Relief_P;73;195;29,09
Relief_P;76;205;33,31
Relief_P;74;220;36,4
Relief_P;74;220;37,36
Relief_P;73;170;31,61
Relief_P;73;185;25,14
Relief_P;74;195;30,29
Catcher;73;220;36,37
Catcher;74;230;34,89
Catcher;72;180;23,79
Baseman;73;220;27,96
Catcher;74;220;31,74
Catcher;72;180;23,92
Catcher;72;205;25,33
Baseman;75;210;24,02
Baseman;73;220;23,7
Baseman;73;211;31,59
Baseman;73;200;29,95
Baseman;70;180;23,64
Catcher;73;220;36,37
Catcher;74;230;34,89
Catcher;72;180;23,79
Baseman;73;220;27,96
Catcher;74;190;28,19
Catcher;73;210;26,84
Baseman;74;225;26,16
Outfielder;75;215;25,11
Outfielder;73;200;31,28
Outfielder;72;215;34,75
Outfielder;72;180;23,46
Outfielder;76;192;25,37
Outfielder;74;235;29,57
Outfielder;72;185;27,33
Baseman;72;194;26,26
Baseman;74;220;27,56
